Timestamp(s),Execution time(s))
1701092802,0.117647
1701092803,0.102274
1701092804,0.101797
1701092805,0.0996031
1701092806,0.101969
1701092807,0.098432
1701092808,0.0984248
1701092809,0.099015
1701092810,0.108916
1701092811,0.100993
1701092812,0.0976447
1701092813,0.0989569
1701092814,0.0977618
1701092815,0.0982536
1701092816,0.101323
1701092817,0.0983175
1701092818,0.097893
1701092819,0.0984687
1701092820,0.102912
1701092821,0.0983637
1701092822,0.0986421
1701092823,0.103526
1701092824,0.102646
1701092825,0.0999163
1701092826,0.0982528
1701092827,0.102934
1701092828,0.0989186
1701092829,0.0980401
1701092830,0.0999919
1701092831,0.10658
1701092832,0.104385
1701092833,0.106594
1701092834,0.108912
1701092835,0.111263
1701092836,0.10603
1701092837,0.110577
1701092838,0.114887
1701092839,0.099712
1701092840,0.105384
1701092841,0.108773
1701092842,0.110895
1701092843,0.10619
1701092844,0.109889
1701092845,0.100013
1701092846,0.11021
1701092847,0.102049
1701092848,0.100761
1701092849,0.0987166
1701092850,0.110773
1701092851,0.0996002
1701092852,0.10724
1701092853,0.0984845
1701092854,0.102884
1701092855,0.098227
1701092856,0.0958386
1701092857,0.0989765
1701092858,0.0974814
1701092859,0.0980164
1701092860,0.0960182
1701092861,0.0987107
1701092862,0.110593
1701092863,0.0990235
1701092864,0.099002
1701092865,0.0992372
1701092866,0.112349
1701092867,0.0991656
1701092868,0.0981238
1701092869,0.098894
1701092870,0.0962261
1701092871,0.0986788
1701092872,0.0986569
1701092873,0.0987501
1701092874,0.0963378
1701092875,0.0976915
1701092876,0.096438
1701092877,0.0995339
1701092878,0.104608
1701092879,0.106859
1701092880,0.0984669
1701092881,0.0974045
1701092882,0.0961896
1701092883,0.10122
1701092884,0.0984981
1701092885,0.0996959
1701092886,0.0989039
1701092887,0.107364
1701092888,0.0986675
1701092889,0.0991225
1701092890,0.0984955
1701092891,0.0994158
1701092892,0.0989655
1701092893,0.113562
1701092894,0.0981124
1701092895,0.0984657
1701092896,0.0980703
1701092897,0.104103
1701092898,0.100104
