Timestamp(s),Execution time(s))
1701092802,0.339273
1701092803,0.339169
1701092804,0.34136
1701092805,0.335546
1701092806,0.340713
1701092807,0.345935
1701092808,0.334004
1701092809,0.339658
1701092810,0.34494
1701092811,0.341729
1701092812,0.338565
1701092813,0.335136
1701092814,0.341627
1701092815,0.33412
1701092816,0.333362
1701092817,0.344353
1701092818,0.324644
1701092819,0.325701
1701092820,0.338979
1701092821,0.328913
1701092822,0.329065
1701092823,0.330898
1701092824,0.334222
1701092825,0.337897
1701092826,0.333937
1701092827,0.340521
1701092828,0.340043
1701092829,0.369146
1701092830,0.338797
1701092831,0.347006
1701092832,0.358614
1701092833,0.356397
1701092834,0.358057
1701092835,0.4092
1701092836,0.422104
1701092837,0.392172
1701092838,0.377412
1701092839,0.41231
1701092840,0.388247
1701092841,0.366796
1701092842,0.398189
1701092843,0.371747
1701092844,0.389918
1701092845,0.39318
1701092846,0.37421
1701092847,0.384935
1701092848,0.344014
1701092849,0.350187
1701092850,0.3428
1701092851,0.335405
1701092852,0.348622
1701092853,0.347944
1701092854,0.334379
1701092855,0.343467
1701092856,0.334671
1701092857,0.334671
1701092858,0.341298
1701092859,0.339715
1701092860,0.355782
1701092861,0.340343
1701092862,0.347298
1701092863,0.335809
1701092864,0.348593
1701092865,0.349352
1701092866,0.354456
1701092867,0.336411
1701092868,0.356173
1701092869,0.341724
1701092870,0.359166
1701092871,0.357041
1701092872,0.341843
1701092873,0.33726
1701092874,0.339718
1701092875,0.353713
1701092876,0.335465
1701092877,0.336081
1701092878,0.334932
1701092879,0.340156
1701092880,0.33948
1701092881,0.334005
1701092882,0.342877
1701092883,0.340271
1701092884,0.344134
1701092885,0.342728
1701092886,0.340645
1701092887,0.341661
1701092888,0.343678
1701092889,0.333638
1701092890,0.333566
1701092891,0.332291
1701092892,0.338311
1701092893,0.334197
1701092894,0.361804
1701092895,0.338278
1701092896,0.358173
1701092897,0.345984
1701092898,0.354121
