Timestamp(s),Execution time(s))
1701089633,0.581742
1701089634,0.377419
1701089635,0.364368
1701089636,0.3588
1701089637,0.358383
1701089638,0.35558
1701089639,0.347667
1701089640,0.343145
1701089641,0.344478
1701089642,0.354738
1701089643,0.34481
1701089644,0.338955
1701089645,0.376948
1701089646,0.359125
1701089647,0.345127
1701089648,0.340457
1701089649,0.359188
1701089650,0.334316
1701089651,0.341227
1701089652,0.346415
1701089653,0.345424
1701089654,0.344131
1701089655,0.362154
1701089656,0.340482
1701089657,0.342433
1701089658,0.344358
1701089659,0.344284
1701089660,0.36538
1701089661,0.375735
1701089662,0.394429
1701089663,0.349432
1701089664,0.364615
1701089665,0.362571
1701089666,0.356267
1701089667,0.344167
1701089668,0.389303
1701089669,0.355431
1701089670,0.342197
1701089671,0.353866
1701089672,0.35374
1701089673,0.355836
1701089674,0.357437
1701089675,0.343139
1701089676,0.340139
1701089677,0.375459
1701089678,0.339509
1701089679,0.383972
1701089680,0.345967
1701089681,0.355573
1701089682,0.347439
1701089683,0.351191
1701089684,0.353767
1701089685,0.345825
1701089686,0.340685
1701089687,0.342699
1701089688,0.354553
1701089689,0.34733
1701089690,0.382728
1701089691,0.354613
1701089692,0.393361
1701089693,0.369319
1701089694,0.378664
1701089695,0.354356
1701089696,0.368533
1701089697,0.35021
1701089698,0.380986
1701089699,0.351945
1701089700,0.345663
1701089701,0.350716
1701089702,0.368811
1701089703,0.349176
1701089704,0.361021
1701089705,0.354204
1701089706,0.34591
1701089707,0.368933
1701089708,0.374816
1701089709,0.388802
1701089710,0.366153
1701089711,0.350377
1701089712,0.376129
1701089713,0.355764
1701089714,0.343171
1701089715,0.34612
1701089716,0.33613
1701089717,0.343795
1701089718,0.346728
1701089719,0.341704
1701089720,0.357495
1701089721,0.338718
1701089722,0.343893
1701089723,0.361186
1701089724,0.344903
1701089725,0.361636
1701089726,0.341941
1701089727,0.348072
1701089728,0.358753
