Timestamp(s),Execution time(s))
1701091288,0.110736
1701091288,0.0989184
1701091289,0.103382
1701091290,0.101788
1701091291,0.112342
1701091292,0.0983126
1701091293,0.0982011
1701091294,0.0986228
1701091295,0.0990702
1701091296,0.0986391
1701091297,0.0981993
1701091298,0.0988105
1701091299,0.0980722
1701091300,0.0997262
1701091301,0.10134
1701091302,0.0976076
1701091303,0.0986777
1701091304,0.112464
1701091305,0.0982302
1701091306,0.0982486
1701091307,0.100827
1701091308,0.100593
1701091309,0.0981184
1701091310,0.0991568
1701091311,0.103059
1701091312,0.0984694
1701091313,0.100384
1701091314,0.097991
1701091315,0.0982751
1701091316,0.110158
1701091317,0.0984851
1701091318,0.0983515
1701091319,0.099164
1701091320,0.0993703
1701091321,0.0989627
1701091322,0.114181
1701091323,0.0993027
1701091324,0.0983623
1701091325,0.0986017
1701091326,0.0982166
1701091327,0.101701
1701091328,0.0979992
1701091329,0.0979501
1701091330,0.111253
1701091331,0.0977706
1701091332,0.0979515
1701091333,0.0983317
1701091334,0.0981021
1701091335,0.0978881
1701091336,0.0981385
1701091337,0.0980464
1701091338,0.0985483
1701091339,0.0984582
1701091340,0.0981574
1701091341,0.104587
1701091342,0.0985538
1701091343,0.098703
1701091344,0.0984085
1701091345,0.0990325
1701091346,0.0984996
1701091347,0.11307
1701091348,0.112727
1701091349,0.10071
1701091350,0.0992822
1701091351,0.0984189
1701091352,0.100814
1701091353,0.0995599
1701091354,0.102714
1701091355,0.10274
1701091356,0.0987951
1701091357,0.10351
1701091358,0.0989591
1701091359,0.0995005
1701091360,0.104684
1701091361,0.0986186
1701091362,0.102893
1701091363,0.101392
1701091364,0.0982518
1701091365,0.0989951
1701091366,0.112752
1701091367,0.0984513
1701091368,0.0985714
1701091369,0.10884
1701091370,0.108718
1701091371,0.0980882
1701091372,0.0986619
1701091373,0.0984212
1701091374,0.0983282
1701091375,0.0982086
1701091376,0.0980577
1701091377,0.112296
1701091378,0.110157
1701091379,0.0984317
1701091380,0.098313
1701091381,0.0984159
1701091382,0.098312
1701091383,0.0977533
