Timestamp(s),Execution time(s))
1701091639,1.0901
1701091640,0.317683
1701091640,0.341393
1701091641,0.358147
1701091643,0.34943
1701091644,0.332069
1701091645,0.337482
1701091646,0.340425
1701091646,0.344136
1701091647,0.349286
1701091648,0.339119
1701091649,0.330201
1701091650,0.331352
1701091651,0.345145
1701091652,0.337646
1701091653,0.327497
1701091654,0.325878
1701091655,0.337642
1701091656,0.329632
1701091657,0.334926
1701091658,0.331438
1701091659,0.338351
1701091660,0.335487
1701091662,0.337848
1701091662,0.331721
1701091663,0.329885
1701091664,0.332587
1701091666,0.338388
1701091666,0.329184
1701091668,0.353295
1701091668,0.335686
1701091670,0.344082
1701091670,0.33649
1701091671,0.343737
1701091672,0.345559
1701091673,0.331645
1701091675,0.341079
1701091676,0.340275
1701091677,0.36563
1701091677,0.341087
1701091678,0.33704
1701091680,0.367668
1701091680,0.341249
1701091681,0.339354
1701091682,0.342363
1701091683,0.34486
1701091685,0.356272
1701091686,0.347172
1701091686,0.330429
1701091687,0.331644
1701091688,0.33891
1701091689,0.336206
1701091690,0.346539
1701091691,0.334057
1701091692,0.335142
1701091693,0.333075
1701091694,0.338537
1701091696,0.365725
1701091696,0.341642
1701091697,0.340014
1701091698,0.341861
1701091699,0.344179
1701091701,0.34959
1701091702,0.337033
1701091703,0.346482
1701091704,0.335668
1701091704,0.347423
1701091705,0.340258
1701091706,0.344807
1701091707,0.335153
1701091709,0.337746
1701091710,0.343393
1701091710,0.339579
1701091711,0.336861
1701091712,0.337704
1701091713,0.338328
1701091714,0.336653
1701091715,0.354248
1701091717,0.341787
1701091718,0.338256
1701091719,0.332447
1701091720,0.335331
1701091721,0.340538
1701091721,0.338335
1701091722,0.338742
1701091723,0.332894
1701091724,0.333556
1701091725,0.335033
1701091726,0.334092
1701091727,0.338456
1701091728,0.343195
1701091729,0.337002
1701091731,0.357905
1701091732,0.332454
1701091733,0.346127
1701091733,0.349168
1701091734,0.332426
1701091735,0.337155
