Timestamp(s),Execution time(s))
1701092022,0.409202
1701092023,0.352737
1701092024,0.376274
1701092025,0.342461
1701092026,0.386057
1701092027,0.333457
1701092028,0.339482
1701092029,0.357356
1701092030,0.343857
1701092031,0.395645
1701092032,0.335068
1701092033,0.352326
1701092034,0.341862
1701092035,0.333509
1701092036,0.332423
1701092037,0.331646
1701092038,0.327823
1701092039,0.33752
1701092040,0.359452
1701092041,0.341944
1701092042,0.331466
1701092043,0.335621
1701092044,0.332724
1701092045,0.335401
1701092046,0.332351
1701092047,0.337621
1701092048,0.332046
1701092049,0.331945
1701092050,0.33666
1701092051,0.344644
1701092052,0.336292
1701092053,0.336975
1701092054,0.335369
1701092055,0.342049
1701092056,0.359573
1701092057,0.343302
1701092058,0.35429
1701092059,0.333393
1701092060,0.335848
1701092061,0.334687
1701092062,0.333587
1701092063,0.337707
1701092064,0.33845
1701092065,0.33294
1701092066,0.331745
1701092067,0.333303
1701092068,0.336157
1701092069,0.336729
1701092070,0.334736
1701092071,0.349339
1701092072,0.34064
1701092073,0.354192
1701092074,0.34357
1701092075,0.344075
1701092076,0.338645
1701092077,0.345497
1701092078,0.336891
1701092079,0.337002
1701092080,0.339389
1701092081,0.338279
1701092082,0.347814
1701092083,0.344478
1701092084,0.343982
1701092085,0.35874
1701092086,0.35642
1701092087,0.350059
1701092088,0.344946
1701092089,0.347868
1701092090,0.344059
1701092091,0.359563
1701092092,0.366364
1701092093,0.339238
1701092094,0.339668
1701092095,0.339007
1701092096,0.337829
1701092097,0.343251
1701092098,0.340382
1701092099,0.341881
1701092100,0.344782
1701092101,0.351109
1701092102,0.33246
1701092103,0.349522
1701092104,0.334834
1701092105,0.338564
1701092106,0.333698
1701092107,0.340997
1701092108,0.340118
1701092109,0.33836
1701092110,0.33467
1701092111,0.338372
1701092112,0.333901
1701092113,0.335042
1701092114,0.340806
1701092115,0.333518
1701092116,0.360461
1701092117,0.375475
1701092118,0.351794
