Timestamp(s),Execution time(s))
1701090387,0.125615
1701090388,0.102786
1701090389,0.111732
1701090390,0.103255
1701090391,0.0988172
1701090392,0.112783
1701090393,0.104234
1701090394,0.103758
1701090395,0.103816
1701090395,0.0988948
1701090396,0.0996087
1701090398,0.101325
1701090399,0.103591
1701090400,0.103436
1701090400,0.0991033
1701090401,0.101128
1701090402,0.104111
1701090404,0.100484
1701090404,0.102986
1701090406,0.103865
1701090407,0.0996736
1701090408,0.108913
1701090409,0.0986625
1701090410,0.0994569
1701090411,0.123198
1701090412,0.111434
1701090413,0.103526
1701090414,0.103274
1701090415,0.0996571
1701090416,0.0995214
1701090417,0.102299
1701090418,0.099983
1701090419,0.0997628
1701090420,0.102453
1701090421,0.101752
1701090421,0.0999234
1701090423,0.0989433
1701090423,0.0988335
1701090425,0.0968176
1701090426,0.0981326
1701090427,0.111913
1701090428,0.105982
1701090429,0.100537
1701090430,0.100957
1701090431,0.0986898
1701090432,0.0983491
1701090433,0.101283
1701090433,0.100067
1701090435,0.104361
1701090436,0.108451
1701090437,0.100797
1701090438,0.110858
1701090439,0.100639
1701090440,0.101516
1701090440,0.11303
1701090442,0.113801
1701090442,0.108475
1701090444,0.104233
1701090445,0.0994157
1701090446,0.106535
1701090447,0.104957
1701090448,0.102742
1701090448,0.0987436
1701090450,0.0996387
1701090451,0.10035
1701090452,0.100167
1701090453,0.0998339
1701090453,0.0987561
1701090455,0.100135
1701090456,0.100922
1701090457,0.0998643
1701090457,0.100594
1701090459,0.0989014
1701090460,0.102649
1701090461,0.0998866
1701090462,0.110766
1701090463,0.1035
1701090464,0.101694
1701090465,0.100765
1701090466,0.101348
1701090467,0.10013
1701090467,0.0982625
1701090469,0.0994734
1701090470,0.108534
1701090471,0.102254
1701090472,0.101071
1701090473,0.102393
1701090474,0.105256
1701090475,0.102949
1701090476,0.101889
1701090477,0.0988108
1701090478,0.102043
1701090479,0.100392
1701090480,0.104622
1701090480,0.097905
1701090482,0.104697
1701090483,0.0998277
