Timestamp(s),Execution time(s))
1701090387,0.742162
1701090387,0.459981
1701090388,0.371503
1701090389,0.380506
1701090390,0.380842
1701090391,0.374393
1701090392,0.377737
1701090393,0.35405
1701090394,0.350505
1701090395,0.350505
1701090396,0.347575
1701090397,0.355318
1701090398,0.357413
1701090399,0.383402
1701090400,0.352809
1701090401,0.335782
1701090402,0.337615
1701090403,0.367637
1701090404,0.344583
1701090405,0.365752
1701090406,0.340168
1701090407,0.341927
1701090408,0.352363
1701090409,0.387763
1701090410,0.362996
1701090411,0.431773
1701090412,0.38146
1701090413,0.3611
1701090414,0.355187
1701090415,0.358797
1701090416,0.41058
1701090417,0.367677
1701090418,0.358273
1701090419,0.377055
1701090420,0.355223
1701090421,0.3644
1701090422,0.363491
1701090423,0.361641
1701090424,0.348475
1701090425,0.367506
1701090426,0.350579
1701090427,0.35032
1701090428,0.339664
1701090429,0.361779
1701090430,0.357871
1701090431,0.363597
1701090432,0.346812
1701090433,0.336926
1701090434,0.346034
1701090435,0.346308
1701090436,0.345019
1701090437,0.388234
1701090438,0.376487
1701090439,0.357703
1701090440,0.348094
1701090441,0.376139
1701090442,0.355344
1701090443,0.365073
1701090444,0.361134
1701090445,0.409366
1701090446,0.429445
1701090447,0.360812
1701090448,0.353598
1701090449,0.37511
1701090450,0.379538
1701090451,0.379529
1701090452,0.359386
1701090453,0.357625
1701090454,0.348146
1701090455,0.404152
1701090456,0.36213
1701090457,0.351615
1701090458,0.355945
1701090459,0.376249
1701090460,0.365789
1701090461,0.390399
1701090462,0.376859
1701090463,0.426531
1701090464,0.364619
1701090465,0.346366
1701090466,0.358133
1701090467,0.347438
1701090468,0.36181
1701090469,0.370012
1701090470,0.39215
1701090471,0.383807
1701090472,0.383201
1701090473,0.358906
1701090474,0.367991
1701090475,0.393481
1701090476,0.407689
1701090477,0.426343
1701090478,0.368239
1701090479,0.365149
1701090480,0.347368
1701090481,0.36569
1701090482,0.383093
